ID,Age (25+),Has_Job,Income (>$1000),Avails_Membership
164,1,1,1,1
165,1,1,0,1
166,0,1,1,1
167,1,1,0,1
168,0,1,0,0
169,0,0,1,0
170,1,1,1,1
171,1,1,1,1
172,0,0,1,0
173,0,1,1,0
174,1,1,0,1
175,1,1,1,0
176,1,1,1,1
177,0,1,0,0
178,0,0,1,0
179,0,0,0,0
180,0,0,1,1
181,0,1,1,1
182,0,0,0,0
183,1,1,1,1
184,0,1,1,1
185,0,1,1,1
186,0,0,1,0
187,1,0,0,0
188,0,0,0,0
189,0,1,1,1
190,1,0,1,0
191,0,1,0,0
192,0,0,0,1
193,0,0,1,0
194,0,1,0,0
195,0,1,0,0
196,1,0,0,0
197,1,0,0,0
198,1,0,1,0
199,0,1,0,0
200,0,1,1,1
201,0,0,1,0
202,1,0,0,0
203,0,1,1,1
204,0,0,1,0
205,1,1,0,1
206,0,1,0,0
207,1,1,0,1
208,1,1,1,1
209,1,1,1,1
210,0,1,1,1
211,0,0,1,0
212,0,1,0,0
213,0,1,1,0
214,0,0,0,1
215,0,1,0,0
216,0,0,0,0
217,1,1,0,0
218,0,0,1,1
219,1,0,0,1
220,0,1,1,1
221,0,1,0,0
222,0,1,0,0
223,1,1,0,0
224,1,0,1,0
225,1,0,0,1
226,1,0,0,1
227,0,1,0,0
228,1,0,0,0
229,0,1,1,0
230,0,1,1,0
231,1,0,0,1
232,1,1,0,1
233,1,0,1,0
234,1,1,1,1
235,1,0,1,1
236,1,1,0,1
237,1,0,1,0
238,1,0,0,0
239,0,1,1,1
240,1,1,1,1
241,1,0,0,0
242,0,1,1,1
243,1,1,0,1
244,0,1,1,0
245,0,0,0,0
246,1,0,1,1
247,0,1,1,0
248,0,1,0,0
249,0,0,0,0
250,0,1,0,0
251,1,0,0,1
252,0,1,1,1
253,1,1,1,1
254,0,1,1,0
255,0,0,1,0
256,0,0,1,0
257,0,0,1,0
258,1,0,0,1
259,1,1,1,1
260,0,1,1,1
261,0,0,0,0
262,1,1,1,1
263,0,1,1,1
264,0,0,1,0
265,0,1,0,0
266,1,1,0,1
267,1,0,1,1
268,1,1,0,1
269,0,1,1,1
270,0,1,1,1
271,1,0,1,1
272,1,0,0,0
273,1,1,1,1
274,1,1,1,1
275,0,1,1,1
276,1,0,1,0
277,0,0,1,0
278,1,0,0,0
279,0,1,1,1
280,1,1,0,0
281,1,1,1,1
282,1,1,0,0
283,1,1,1,1
284,0,0,1,0
285,1,1,0,1
286,0,1,0,0
287,0,1,1,1
288,0,0,0,0
289,0,1,0,0
290,1,0,1,0
291,0,0,1,0
292,0,0,1,0
293,0,0,1,0
294,1,0,1,0
295,1,1,0,1
296,1,1,1,1
297,1,0,0,0
298,0,0,1,0
299,0,0,1,0
300,1,1,0,1
301,0,1,1,0
302,0,0,0,0
303,0,1,0,0
304,1,1,0,1
305,1,0,1,0
306,0,0,1,1
307,1,1,1,1
308,1,1,1,1
309,1,1,1,1
310,1,0,1,1
311,1,0,0,0
312,0,0,1,0
313,1,1,1,1
314,0,1,1,1
315,0,0,1,0
316,1,1,0,0
317,0,0,0,1
318,0,1,0,0
319,0,0,0,0
320,1,1,0,1
321,1,1,1,1
322,0,0,0,0
323,1,0,0,1
324,1,0,1,0
325,1,0,1,1
326,1,0,0,0
327,0,1,1,1
328,0,0,1,0
329,1,0,0,0
330,1,0,1,0
331,0,0,0,1
332,0,0,0,0
333,1,1,1,1
334,0,0,0,0
335,1,0,0,0
336,1,0,1,0
337,0,1,1,1
338,0,1,1,1
339,1,0,1,0
340,1,0,0,1
341,0,1,1,0
342,1,1,1,1
343,0,1,0,0
344,1,0,0,1
345,0,0,0,0
346,0,1,0,0
347,0,0,1,0
348,1,1,1,1
349,1,1,0,1
350,0,1,0,0
351,1,0,0,1
352,0,1,0,0
353,0,1,1,1
354,1,0,0,0
355,1,1,1,1
356,0,0,0,0
357,1,1,1,1
358,1,0,1,0
359,0,1,1,1
360,0,1,1,1
361,1,1,0,0
362,0,1,1,1
363,0,1,0,0
364,1,0,1,1
365,0,0,1,0
366,0,1,0,1
367,1,1,0,0
368,1,1,1,1
369,0,0,1,1
370,0,0,0,0
371,1,1,1,1
372,1,0,0,0
373,1,1,0,1
374,1,1,0,1
375,0,1,1,1
376,1,0,1,0
377,1,1,0,0
378,0,1,0,0
379,1,1,0,0
380,0,0,0,0
381,1,0,1,0
382,1,0,0,0
383,1,1,1,1
384,0,0,0,0
385,0,1,1,0
386,1,0,1,0
387,0,1,1,1
388,0,0,1,0
389,0,1,1,1
390,0,0,0,0
391,0,0,0,0
392,0,0,1,0
393,1,1,0,1
394,1,0,0,0
395,0,0,0,0
396,1,0,0,0
397,1,0,0,0
398,1,1,0,0
399,1,0,0,0
400,0,1,1,1
401,1,1,0,1
402,1,1,0,1
403,0,1,0,0
404,0,0,1,0
405,1,1,1,1
406,1,1,0,1
407,1,1,1,1
408,1,1,1,1
409,1,0,0,0
410,1,0,1,0
411,0,1,0,0
412,1,1,1,1
413,1,1,0,0
414,0,0,1,0
415,0,0,0,0
416,0,0,0,0
417,0,0,1,0
418,1,0,0,0
419,1,1,0,1
420,1,0,1,0
421,1,0,0,0
422,1,1,0,1
423,1,0,1,1
424,0,0,0,0
425,1,0,1,0
426,0,1,0,0
427,0,0,1,0
428,1,1,1,1
429,0,1,0,0
430,1,0,1,1
431,0,0,0,0
432,1,0,0,0
433,0,0,1,0
434,1,1,0,1
435,1,0,0,0
436,1,1,1,1
437,1,1,0,1
438,1,1,0,1
439,0,1,1,0
440,0,1,0,1
441,0,0,0,0
442,1,1,1,1
443,0,1,0,0
444,1,0,0,0
445,1,0,1,0
446,0,1,0,0
447,0,1,0,0
448,1,0,1,0
449,0,1,1,1
450,1,0,0,0
451,1,0,0,0
452,1,1,1,1
453,1,0,0,0
454,1,1,0,1
455,0,1,0,0
456,0,1,1,1
457,1,0,0,0
458,1,1,0,1
459,0,0,1,0
460,0,1,1,1
461,1,1,1,1
462,0,0,0,0
463,1,1,0,1
464,0,1,1,1
465,1,0,0,0
466,0,0,0,0
467,1,0,0,0
468,0,1,0,0
469,0,0,1,0
470,1,0,1,0
471,0,1,0,1
472,1,0,1,0
473,0,1,0,0
474,1,1,0,1
475,0,0,1,0
476,1,1,1,1
477,0,0,0,0
478,1,0,0,0
479,0,0,0,0
480,1,0,0,1
481,1,1,1,1
482,1,1,1,1
483,0,0,0,0
484,1,0,0,0
485,0,1,1,0
486,1,0,0,0
487,0,1,1,0
488,1,0,0,1
489,0,1,1,1
490,0,1,0,0
491,1,1,0,1
492,0,0,0,0
493,0,0,1,0
494,1,0,1,0
495,0,0,0,0
496,0,0,0,0
497,0,1,0,0
498,1,1,0,1
499,0,1,1,1
500,1,1,1,1
501,0,1,1,0
502,0,1,0,0
503,0,1,0,0
504,1,0,1,0
505,0,1,0,0
506,0,0,1,0
507,1,1,1,1
508,0,1,1,1
509,1,0,1,0
510,1,1,0,1
511,0,0,1,0
512,1,1,0,1
513,0,0,1,0
514,1,1,1,1
515,1,0,1,0
516,0,0,1,1
517,1,1,0,1
518,1,1,0,1
519,1,0,0,0
520,1,1,0,1
521,1,0,1,1
522,0,1,0,0
523,1,0,0,0
524,0,1,1,0
525,1,0,0,0
526,0,1,0,0
527,0,0,0,0
528,1,0,0,0
529,1,1,1,1
530,1,1,1,1
531,0,0,0,1
532,1,0,1,0
533,0,0,0,0
534,0,0,0,1
535,0,1,0,0
536,1,0,1,0
537,1,0,1,1
538,0,0,1,0
539,0,1,1,1
540,1,0,1,0
541,0,1,1,1
542,1,1,0,1
543,0,1,1,1
544,1,1,0,1
545,0,1,0,0
546,1,1,1,1
547,0,1,0,0
548,1,0,0,1
549,1,0,0,1
550,0,1,1,0
551,0,0,1,0
552,1,0,0,0
553,0,1,1,1
554,1,0,0,1
555,0,1,1,1
556,1,0,0,0
557,1,1,0,0
558,1,1,1,1
559,1,0,1,0
560,1,0,1,0
561,1,1,1,1
562,0,1,1,1
563,0,1,0,0
564,0,0,0,0
565,1,0,0,1
566,1,0,1,1
567,1,0,1,0
568,1,1,0,1
569,0,1,0,0
570,0,1,0,0
571,1,1,0,0
572,0,0,1,0
573,0,1,0,0
574,1,1,1,1
575,0,0,0,0
576,1,0,1,0
577,0,1,1,1
578,1,0,1,0
579,1,1,1,1
580,1,0,0,0
581,1,0,0,0
582,0,1,0,0
583,1,0,1,1
584,1,1,0,1
585,1,0,0,1
586,0,0,0,0
587,1,0,1,1
588,0,0,1,0
589,1,0,1,1
590,0,1,0,1
591,0,0,0,0
592,1,1,0,1
593,0,0,1,0
594,1,1,0,1
595,1,0,1,1
596,1,1,1,1
597,0,1,1,1
598,0,0,1,0
599,1,0,0,0
600,1,0,0,1
601,0,1,1,1
602,1,1,0,0
603,1,0,1,0
604,1,0,0,0
605,0,1,0,0
606,0,1,1,1
607,0,0,1,0
608,1,1,1,1
609,1,0,1,0
610,1,0,0,0
611,0,0,1,0
612,1,1,0,1
613,1,1,1,1
614,1,1,0,1
615,1,1,1,1
616,0,0,0,0
617,0,1,0,0
618,1,0,0,0
619,0,0,1,0
620,0,0,1,0
621,1,1,1,1
622,1,0,1,0
623,0,0,0,0
624,1,1,0,1
625,0,0,0,0
626,1,1,1,1
627,0,1,0,0
628,1,1,0,0
629,0,0,1,0
630,0,1,1,1
631,0,1,0,0
632,1,1,1,1
633,0,1,1,0
634,0,0,1,0
635,1,1,1,1
636,1,0,0,1
637,0,1,0,0
638,0,0,0,1
639,1,1,0,0
640,1,0,0,0
641,1,1,1,1
642,1,0,0,0
643,1,0,0,0
644,0,0,1,0
645,1,1,1,1
646,0,0,1,0
647,0,0,0,0
648,0,0,1,0
649,1,0,1,1
650,0,1,1,1
651,0,0,0,1
652,1,0,1,1
653,0,0,1,0
654,0,1,0,0
655,1,0,1,0
656,0,0,0,0
657,0,0,0,0
658,0,0,1,0
659,1,1,0,1
660,1,0,1,0
661,1,0,1,0
662,0,1,1,1
663,0,1,1,1
664,1,1,0,1
665,0,0,1,0
666,0,1,1,0
667,1,0,1,0
668,1,1,0,1
669,0,0,0,0
670,0,1,1,1
671,0,0,0,0
672,1,1,0,1
673,1,0,1,1
674,1,0,1,0
675,1,0,1,0
676,0,0,1,0
677,1,0,1,0
678,1,0,0,0
679,1,0,1,0
680,1,0,1,0
681,1,1,1,1
682,0,0,1,1
683,0,0,1,1
684,1,1,0,1
685,0,0,1,0
686,1,1,0,1
687,1,0,1,0
688,0,1,1,1
689,0,1,1,1
690,1,0,0,0
691,1,1,1,1
692,1,0,1,0
693,0,0,1,0
694,1,0,1,1
695,1,0,1,1
696,1,1,1,1
697,0,0,1,0
698,1,1,0,1
699,1,1,1,1
700,0,0,1,0
701,1,0,1,1
702,1,0,0,1
703,0,0,0,0
704,1,1,1,1
705,0,0,0,0
706,0,1,1,1
707,1,0,1,0
708,1,0,0,1
709,1,0,1,0
710,1,0,0,0
711,0,1,0,1
712,1,1,0,0
713,0,0,1,1
714,1,1,1,1
715,1,1,1,1
716,1,0,1,0
717,0,0,1,1
718,1,1,1,1
719,1,1,1,1
720,1,1,0,1
721,1,1,1,1
722,0,0,1,1
723,1,0,1,0
724,0,1,0,1
725,0,0,0,0
726,0,1,0,1
727,0,1,1,1
728,0,0,0,0
729,0,1,0,0
730,1,1,1,1
731,0,0,1,0
732,0,0,1,0
733,0,1,0,0
734,1,1,1,1
735,1,0,1,0
736,0,1,1,1
737,1,1,1,1
738,0,0,1,0
739,0,0,1,0
740,1,0,0,0
741,0,0,1,0
742,1,0,0,0
743,1,0,0,0
744,0,1,1,1
745,0,1,0,0
746,1,0,0,0
747,0,0,0,0
748,0,1,1,1
749,0,1,0,1
750,1,1,0,1
751,1,0,0,0
752,0,0,0,0
753,1,1,1,1
754,1,0,1,0
755,1,0,0,0
756,1,0,1,0
757,1,1,1,1
758,0,1,0,0
759,0,0,1,0
760,0,0,1,1
761,1,0,0,1
762,1,0,0,1
763,0,0,1,0
764,1,1,1,1
765,0,0,1,0
766,0,0,1,0
767,0,0,0,0
768,1,1,0,1
769,1,1,0,1
770,0,0,0,0
771,0,1,0,0
772,0,1,1,1
773,0,1,1,1
774,1,1,0,0
775,1,1,0,0
776,0,1,0,0
777,0,0,1,0
778,1,1,1,1
779,1,1,1,1
780,0,0,0,0
781,0,0,0,1
782,0,0,0,0
783,1,0,0,1
784,1,1,0,1
785,1,1,1,1
786,0,1,0,0
787,0,1,1,1
788,1,0,1,0
789,1,1,1,1
790,0,1,1,0
791,1,0,1,0
792,1,1,0,1
793,0,1,0,0
794,1,1,0,0
795,0,1,1,1
796,0,0,1,0
797,0,0,1,0
798,0,0,1,0
799,0,0,1,0
800,0,0,1,0
801,0,1,0,0
802,1,1,1,1
803,0,0,1,0
804,0,0,0,0
805,1,0,1,0
806,1,1,0,1
807,1,0,0,1
808,0,1,0,0
809,1,1,1,1
810,0,1,0,0
811,0,1,0,0
812,0,0,1,1
813,0,1,0,0
814,1,1,1,1
815,1,0,1,0
816,0,1,0,0
817,0,1,1,0
818,0,1,1,0
819,1,0,0,1
820,0,1,0,0
821,0,1,0,1
822,1,0,0,0
823,1,0,1,0
824,0,1,0,0
825,1,1,0,1
826,1,0,0,1
827,0,1,1,1
828,1,0,1,0
829,0,1,1,1
830,1,0,1,1
831,0,1,1,0
832,0,0,0,0
833,0,0,1,0
834,1,0,1,1
835,0,0,1,0
836,1,0,0,0
837,0,1,0,0
838,0,1,1,1
839,1,0,0,0
840,0,1,1,0
841,0,1,0,0
842,1,1,0,0
843,0,1,1,1
844,0,1,0,0
845,0,1,1,1
846,0,0,1,0
847,1,1,1,1
848,1,1,0,1
849,0,1,0,0
850,1,0,1,0
851,0,1,1,1
852,1,1,0,1
853,0,1,1,1
854,0,0,0,0
855,0,1,0,0
856,0,0,0,0
857,0,1,1,0
858,0,0,1,0
859,1,0,0,1
860,0,0,1,0
861,1,1,1,1
862,0,0,0,0
863,1,0,0,0
864,1,0,1,1
865,1,0,0,0
866,0,1,1,1
867,0,1,0,0
868,1,1,0,0
869,0,1,1,0
870,1,0,1,0
871,0,1,1,1
872,1,0,1,1
873,1,1,1,1
874,0,1,0,0
875,1,1,0,1
876,0,0,1,0
877,1,1,0,1
878,1,1,1,1
879,0,1,0,1
880,0,0,0,0
881,0,1,1,1
882,1,1,1,1
883,0,0,1,0
884,1,0,0,1
885,1,1,1,1
886,0,1,1,1
887,0,1,1,1
888,1,0,1,0
889,1,0,1,0
890,0,0,1,0
891,0,1,0,1
892,0,0,0,0
893,0,1,0,0
894,0,0,0,0
895,1,0,1,1
896,1,0,1,0
897,1,1,0,1
898,1,1,0,0
899,0,1,0,1
900,0,1,1,1
901,0,0,1,0
902,1,1,1,1
903,1,0,0,1
904,0,1,0,0
905,0,1,0,0
906,1,0,0,1
907,1,0,0,0
908,0,1,1,1
909,0,1,1,1
910,1,0,1,1
911,0,0,1,0
912,0,0,1,0
913,0,0,0,0
914,1,0,1,1
915,1,1,0,0
916,1,1,1,1
917,1,1,0,1
918,1,1,0,1
919,1,0,0,0
920,1,0,0,0
921,0,0,0,0
922,0,1,0,0
923,0,0,1,0
924,0,0,0,0
925,0,1,0,1
926,0,1,1,0
927,0,1,0,0
928,1,0,1,0
929,1,0,1,0
930,0,1,0,0
931,0,1,0,1
932,1,0,1,0
933,0,1,0,0
934,0,0,1,1
935,1,1,0,1
936,0,1,1,1
937,1,1,0,1
938,0,0,0,0
939,1,0,1,1
940,1,1,1,1
941,1,0,1,0
942,0,1,1,1
943,1,1,0,1
944,0,0,1,0
945,0,0,1,0
946,0,0,0,0
947,0,0,0,0
948,1,1,1,1
949,1,0,0,0
950,0,0,1,0
951,0,1,0,0
952,1,1,1,1
953,0,1,0,0
954,1,1,1,1
955,0,0,1,0
956,0,0,0,0
957,1,1,0,1
958,0,1,1,1
959,1,0,1,0
960,0,0,0,1
961,0,0,0,0
962,0,0,0,0
963,1,0,0,0
964,0,1,0,0
965,0,1,0,0
966,0,1,0,0
967,0,1,0,0
968,1,0,0,0
969,1,1,1,1
970,0,0,0,0
971,1,0,0,0
972,0,0,1,1
973,0,0,1,0
974,0,0,1,0
975,1,0,1,0
976,1,0,1,0
977,1,1,1,1
978,1,0,0,0
979,1,1,1,1
980,1,1,1,1
981,1,0,1,0
982,1,0,0,0
983,1,1,1,1
984,0,1,0,0
985,1,1,1,1
986,1,1,1,1
987,1,0,0,0
988,1,0,0,0
989,1,0,1,0
990,1,1,0,1
991,1,0,0,0
992,1,1,1,1
993,1,0,1,0
994,1,1,1,1
995,1,0,0,0
996,0,0,1,1
997,0,1,1,1
998,1,1,0,1
999,1,1,0,1
1000,0,1,1,0
1001,1,1,0,1
1002,0,0,1,1
1003,0,1,0,0
1004,0,0,1,1
1005,0,0,0,0
1006,0,0,0,0
1007,1,0,0,0
1008,0,0,0,1
1009,1,1,1,1
1010,1,1,0,1
1011,0,0,1,1
1012,0,0,0,0
1013,1,1,0,1
1014,0,1,1,0
1015,0,0,0,0
1016,1,1,0,1
1017,1,1,1,0
1018,0,1,0,0
1019,1,0,1,0
1020,0,1,0,0
1021,0,0,0,0
1022,0,0,0,0
1023,1,0,1,1
1024,1,0,0,0
1025,1,0,0,0
1026,1,1,0,1
1027,1,0,0,0
1028,0,0,0,0
1029,0,0,0,0
1030,0,1,0,0
1031,0,1,0,0
1032,1,1,0,1
1033,0,1,1,0
1034,1,1,0,1
1035,0,1,1,0
1036,1,1,1,1
1037,1,0,1,0
1038,0,0,0,0
1039,0,1,1,1
1040,0,0,1,0
1041,0,0,1,0
1042,1,1,0,0
1043,0,0,1,1
1044,0,0,0,0
1045,1,1,1,1
1046,0,0,1,0
1047,0,1,0,0
1048,0,1,0,0
1049,0,0,1,0
1050,0,0,1,0
1051,1,0,1,0
1052,0,1,0,0
1053,0,1,0,0
1054,0,1,1,0
1055,0,0,1,0
1056,0,0,0,0
1057,1,1,0,1
1058,0,0,1,0
1059,1,0,0,0
1060,1,1,1,1
1061,0,1,0,0
1062,0,0,1,0
1063,0,1,1,1
1064,0,0,1,0
1065,1,1,0,1
1066,0,1,1,1
1067,0,1,1,1
1068,0,0,0,0
1069,0,0,1,1
1070,0,1,1,1
1071,0,1,1,1
1072,1,1,0,1
1073,1,0,0,0
1074,0,1,0,0
1075,0,1,0,0
1076,0,1,1,1
1077,1,1,0,1
1078,0,0,0,1
1079,1,0,0,0
1080,0,1,1,1
1081,0,0,1,0
1082,0,0,1,0
1083,0,0,0,0
1084,1,1,1,0
1085,1,0,1,0
1086,0,0,0,0
1087,0,0,1,0
1088,1,1,0,0
1089,1,1,0,1
1090,1,0,1,0
1091,1,0,0,1
1092,0,1,0,0
1093,1,1,0,1
1094,0,0,0,0
1095,1,0,0,0
1096,1,1,0,0
1097,1,1,1,1
1098,1,0,0,0
1099,1,1,0,1
1100,0,0,0,0
1101,0,0,0,0
1102,1,0,1,1
1103,1,1,1,1
1104,0,0,0,1
1105,1,0,1,0
1106,1,1,0,1
1107,0,1,0,0
1108,1,0,0,0
1109,1,0,0,1
1110,0,1,1,1
1111,0,1,1,1
1112,0,1,0,0
1113,1,0,0,0
1114,0,0,1,0
1115,0,0,1,0
1116,0,1,0,0
1117,0,0,1,0
1118,0,1,0,0
1119,0,0,1,0
1120,1,1,1,1
1121,1,0,1,0
1122,0,0,1,0
1123,0,1,0,0
1124,0,1,0,0
1125,1,0,1,0
1126,1,1,0,1
1127,1,1,1,1
1128,1,0,1,0
1129,1,1,0,0
1130,1,0,0,0
1131,1,0,0,0
1132,1,1,1,1
1133,1,1,0,0
1134,0,0,0,1
1135,0,0,0,0
1136,0,0,0,0
1137,0,0,1,0
1138,1,0,1,0
1139,1,0,1,0
1140,0,1,1,1
1141,1,1,1,1
1142,0,1,1,1
1143,1,0,1,0
1144,0,1,0,0
1145,1,0,1,0
1146,1,0,1,1
1147,0,1,1,0
1148,1,0,1,0
1149,0,0,0,0
1150,0,0,1,0
1151,0,0,1,0
1152,0,0,0,0
1153,1,0,1,0
1154,1,1,1,1
1155,1,0,1,0
1156,0,0,1,0
1157,1,0,1,0
1158,0,0,1,1
1159,1,1,1,1
1160,1,1,0,1
1161,1,0,0,0
1162,0,0,1,0
1163,1,0,0,0
1164,1,1,1,1
1165,0,1,0,0
1166,1,1,1,1
1167,0,1,0,0
1168,1,0,1,0
1169,0,1,0,0
1170,0,1,0,0
1171,1,0,1,1
1172,0,0,1,0
1173,0,1,0,0
1174,0,1,0,0
1175,0,1,1,0
1176,0,1,0,0
1177,0,0,1,0
1178,1,0,0,0
1179,0,1,0,0
1180,0,1,1,1
1181,1,1,1,1
1182,1,1,1,1
1183,1,1,0,1
1184,1,0,0,1
1185,1,0,0,1
1186,1,0,1,0
1187,1,1,0,1
1188,0,1,0,0
1189,0,0,1,0
1190,1,0,0,0
1191,0,1,0,0
1192,0,0,1,1
1193,0,1,1,0
1194,1,1,1,1
1195,1,0,1,0
1196,0,0,1,0
1197,1,0,1,0
1198,0,1,1,1
1199,0,1,1,1
1200,0,0,1,0
1201,0,1,0,0
1202,1,1,1,1
1203,1,1,1,1
1204,1,0,0,0
1205,0,1,1,0
1206,1,0,0,1
1207,0,0,0,0
1208,1,1,1,1
1209,0,0,0,0
1210,0,1,1,1
1211,0,0,1,0
1212,1,0,0,1
1213,1,1,0,1
1214,1,0,0,0
1215,1,0,1,0
1216,0,0,1,0
1217,1,1,0,1
1218,1,1,1,1
1219,0,0,1,0
1220,0,0,0,0
1221,0,0,0,0
1222,1,1,0,1
1223,0,1,0,0
1224,0,0,0,0
1225,0,1,0,1
1226,1,1,0,0
1227,0,1,0,0
1228,1,1,0,0
1229,1,0,0,1
1230,0,1,1,0
1231,0,1,1,1
1232,1,0,0,1
1233,0,0,1,0
1234,0,1,1,1
1235,1,1,1,1
1236,1,0,1,0
1237,0,0,1,0
1238,1,0,1,0
1239,0,1,0,0
1240,0,1,0,0
1241,0,0,1,0
1242,1,1,1,1
1243,0,0,0,0
1244,0,1,1,1
1245,0,0,1,0
1246,1,0,1,0
1247,1,1,1,1
1248,1,1,1,1
1249,1,1,0,1
1250,1,1,0,1
1251,0,1,1,1
1252,1,1,0,1
1253,1,0,1,1
1254,1,1,1,1
1255,0,0,1,1
1256,1,0,1,0
1257,1,1,1,1
1258,0,0,1,1
1259,1,0,1,1
1260,0,1,1,0
1261,0,1,1,1
1262,0,1,0,0
1263,0,0,1,0
1264,0,1,0,0
1265,1,1,0,1
1266,0,1,1,0
1267,0,1,0,0
1268,1,0,1,0
1269,0,1,1,1
1270,1,0,1,0
1271,1,1,1,1
1272,1,0,0,0
1273,0,0,0,0
1274,0,0,1,0
1275,0,1,0,0
1276,1,0,0,1
1277,0,1,0,0
1278,0,1,1,1
1279,0,1,0,0
1280,1,1,0,1
1281,1,1,0,1
1282,0,0,1,0
1283,0,1,0,0
1284,0,0,0,0
1285,0,0,1,0
1286,1,0,0,0
1287,1,0,1,0
1288,1,0,1,0
1289,1,0,1,1
1290,0,0,1,1
1291,0,1,1,1
1292,0,0,1,0
1293,1,1,0,0
1294,0,0,1,0
1295,1,0,0,1
1296,1,0,0,0
1297,0,0,1,0
1298,0,1,0,0
1299,0,1,0,0
1300,1,1,0,1
1301,0,0,1,0
1302,1,0,0,0
1303,0,0,0,0
1304,1,1,1,1
1305,1,0,0,0
1306,0,1,0,0
1307,1,1,0,1
1308,1,0,1,1
1309,0,0,0,0
1310,1,1,0,1
1311,0,1,1,1
1312,1,1,1,1
1313,0,0,1,1
1314,0,0,0,0
1315,1,0,1,1
1316,1,0,1,0
1317,1,0,1,0
1318,1,0,0,0
1319,1,1,1,1
1320,0,1,1,1
1321,1,1,1,1
1322,0,0,1,0
1323,0,1,1,0
1324,1,0,0,0
1325,0,0,0,0
1326,0,1,1,1
1327,0,0,1,0
1328,0,1,1,1
1329,1,1,0,1
1330,0,0,0,0
1331,1,1,0,1
1332,1,1,0,1
1333,0,1,1,0
1334,1,1,1,1
1335,1,0,1,0
1336,1,1,1,0
1337,0,1,0,0
1338,1,1,1,1
1339,1,0,0,0
1340,1,1,0,1
1341,0,0,1,1
1342,1,1,0,1
1343,0,1,0,0
1344,0,1,1,0
1345,0,0,0,0
1346,0,0,0,0
1347,0,0,1,0
1348,0,0,0,1
1349,1,0,0,0
1350,0,0,1,0
1351,1,1,0,1
1352,1,0,1,0
1353,0,1,0,1
1354,1,0,0,0
1355,1,0,1,0
1356,1,0,1,0
1357,1,1,0,1
